URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
budgetbeepro.com/financial-solutions/first-digital-nextgen-mastercard-requirements/,No,No,Tagged
budgetbeepro.com/financial-solutions/doordash-rewards-mastercard-requirements/,No,No,Tagged
budgetbeepro.com/financial-solutions/doordash-rewards-mastercard-benefits/,No,No,Tagged
budgetbeepro.com/financial-solutions/citi-simplicity-card-requirements/,No,No,Tagged
budgetbeepro.com/financial-solutions/capital-one-savor-rewards-credit-card-requirements/,No,No,Tagged
budgetbeepro.com/financial-solutions/capital-one-quicksilver-student-credit-card-requirements/,No,No,Tagged
budgetbeepro.com/financial-solutions/page/5/,No,No,Tagged
budgetbeepro.com/financial-solutions/page/4/,No,No,Tagged
budgetbeepro.com/financial-solutions/page/3/,No,No,Tagged
budgetbeepro.com/financial-solutions/page/2/,No,No,Tagged
budgetbeepro.com/financial-solutions/first-digital-nextgen-mastercard-benefits/,No,No,Tagged
budgetbeepro.com/financial-solutions/discover-it-student-chrome-credit-card-benefits/,No,No,Tagged
budgetbeepro.com/financial-solutions/citi-simplicity-card-benefits/,No,No,Tagged
budgetbeepro.com/financial-solutions/citi-double-cash-credit-card-requirements/,No,No,Tagged
budgetbeepro.com/financial-solutions/capital-one-quicksilver-student-credit-card-benefits/,No,No,Tagged
budgetbeepro.com/blog/page/9/,No,No,Tagged
budgetbeepro.com/blog/page/8/,No,No,Tagged
budgetbeepro.com/blog/page/7/,No,No,Tagged
budgetbeepro.com/blog/page/6/,No,No,Tagged
budgetbeepro.com/blog/page/5/,No,No,Tagged
budgetbeepro.com/blog/page/4/,No,No,Tagged
budgetbeepro.com/blog/page/2/,No,No,Tagged
budgetbeepro.com/blog/page/12/,No,No,Tagged
budgetbeepro.com/blog/page/11/,No,No,Tagged
budgetbeepro.com/blog/page/10/,No,No,Tagged
budgetbeepro.com/personal-finance/what-is-personal-finance-and-why-does-it-matter/,No,No,Tagged
budgetbeepro.com/cookie-policy/,No,No,Tagged
budgetbeepro.com/blog/page/3/,No,No,No recent data
www.budgetbeepro.com/privacy-policy/,No,No,No recent data
www.budgetbeepro.com/about/,No,No,No recent data
www.budgetbeepro.com/contact/,No,No,No recent data
www.budgetbeepro.com/blog/,No,No,No recent data
budgetbeepro.com/qz,No,No,No recent data
